avg_time,avg_views,bounce_rate,conversion_rate,sub_continent,view_rank,time_rank,bounce_rank,conversion_rank
46.445704515318582,1.8875357666271197,0.65098750785121084,0.00031404843324726081,Western Asia,17,17,16,12
198.66557146560837,6.1654468220888257,0.3232953752268512,0.0295654428334962,Northern America,1,1,1,1
49.734469919655105,1.8391142465216539,0.69684499314128945,0.0,Northern Africa,18,16,18,17
138.4915750915751,3.7362637362637363,0.5135531135531135,0.0065934065934065934,Caribbean,2,2,2,2
90.637240356083083,2.3449554896142435,0.61498516320474772,0.0,Western Africa,13,8,14,17
77.545098039215688,2.542802486848398,0.61032998565279772,0.0013390722142515542,Central America,7,12,11,5
67.486451276706617,2.2400059554827663,0.65048760515149262,0.00011166530186853272,Eastern Europe,15,15,15,15
77.123123459556354,2.4801329449548137,0.65860034356561359,0.0043319142579729625,South America,10,13,17,3
34.065853658536582,1.7073170731707317,0.72073170731707314,0.0012195121951219512,Central Asia,19,19,19,8
94.094650205761312,2.3209876543209877,0.551440329218107,0.0,Middle Africa,14,6,4,17
76.9412265758092,2.3637137989778534,0.60221465076660985,0.00085178875638841568,Southern Africa,12,14,10,9
79.1072319201995,2.5385991542881925,0.61151469153203941,0.00010842459069717012,Southern Europe,8,11,13,16
113.6033779848573,3.4433605125218403,0.533634245777519,0.0013104251601630751,Australasia,3,3,3,7
89.674862898311773,2.774723108355138,0.586938599949819,0.0005376536793433456,Northern Europe,6,9,7,10
99.8247614454511,2.97182128216611,0.58741258741258739,0.00037893141341417203,Western Europe,5,5,8,11
107.57113865020078,3.3447040027635047,0.56802970767304284,0.0013385724772226779,Eastern Asia,4,4,5,6
82.752325581395354,2.4943521594684386,0.57800664451827244,0.00016611295681063124,Southern Asia,9,10,6,14
43.3777651824562,1.9041458982779602,0.61068231450147537,0.0003000650140863854,Southeast Asia,16,18,12,13
92.5513468013468,2.4629629629629628,0.59343434343434343,0.0025252525252525255,Eastern Africa,11,7,9,4